A B C
49 59 96
43 95 4
16 1 11
69 14 79
76 66 50
16 93 88
53 88 8
7 75 32
69 89 8
16 45 13
41 75 76
42 36 5
31 21 72
93 53 19
21 97 59
65 51 11
99 4 24
6 99 48
90 42 24
49 45 51
6 78 49
26 68 45
4 13 36
66 31 9
41 11 76
4 22 76
6 84 13
4 10 15
19 84 66
46 79 98
78 8 21
84 48 73
91 87 19
96 58 96
10 46 14
60 36 57
80 57 31
54 70 55
47 29 29
90 21 11
73 46 22
31 82 82
85 58 72
22 15 35
22 3 28
61 58 62
34 98 61
6 25 19
7 99 62
63 88 100
40 28 97
62 74 5
16 48 60
9 85 38
71 13 49
82 59 28
35 33 71
78 46 48
6 11 30
33 78 27
5 64 1
32 57 48
15 3 87
37 11 47
85 55 28
6 69 84
91 42 27
3 37 95
39 21 86
46 96 87
85 81 33
92 90 18
5 11 25
40 53 52
21 79 50
62 5 33
16 77 58
87 79 91
98 32 79
64 88 68
3 18 10
64 64 18
83 4 90
65 8 73
4 1 2
48 99 4
8 23 44
16 91 8
58 47 39
69 44 17
96 80 65
16 32 100
64 72 29
12 38 38
51 10 83
86 30 75
84 16 91
42 94 98
3 71 27
45 47 56
29 7 42
20 71 8
74 28 28
49 12 78
87 15 79
16 1 32
11 34 25
65 85 6
13 58 35
22 23 99
85 1 14
93 5 72
41 94 11
29 69 30
27 17 34
97 50 45
54 16 59
57 94 66
33 53 99
35 57 6
64 4 36
6 77 92
55 71 65
26 61 7
47 23 85
36 73 88
15 65 70
41 79 89
35 81 52
4 29 55
66 49 83
96 53 99
54 46 52
49 89 9
1 90 49
88 47 47
69 78 47
23 38 77
39 21 28
59 73 47
61 14 23
57 60 35
41 29 84
60 20 30
59 83 73
97 100 93
56 13 11
55 78 97
46 11 47
20 31 97
42 14 68
48 13 98
25 8 18
79 27 19
41 21 35
35 23 54
7 64 81
3 78 1
77 86 3
16 85 13
24 12 36
82 77 6
43 11 48
38 74 18
97 46 70
91 64 6
92 61 7
54 28 87
91 63 53
78 70 67
57 42 94
50 47 10
13 74 7
23 56 21
15 41 30
4 18 98
37 52 30
56 85 57
100 74 91
77 58 2
1 34 48
56 7 57
99 4 69
97 71 19
33 20 59
87 21 79
72 82 33
49 83 91
72 10 8
63 41 79
63 25 58
6 56 91
89 79 51
21 45 94
73 50 23
25 76 15
29 53 34
73 35 46
26 15 54
97 17 92
29 72 85
99 7 16
16 45 7
82 34 15
38 24 70
83 60 67
75 87 45
1 62 45
57 40 76
37 6 38
54 100 59
31 88 12
64 28 33
74 51 7
10 58 6
11 55 53
46 73 5
71 99 10
98 14 72
17 36 33
76 57 7
55 38 86
70 51 34
31 55 9
2 72 28
42 59 78
53 59 53
32 77 42
9 20 32
69 97 43
44 20 8
69 55 2
74 100 10
93 28 5
51 24 43
1 68 63
41 48 4
52 32 35
75 9 80
31 68 93
87 5 32
17 64 16
2 82 58
20 46 100
51 53 42
90 6 27
28 68 25
68 89 11
80 66 69
81 60 12
52 58 40
63 9 61
27 82 6
